id,Month,Wellington,'Enrolments,'Enrolments,GST,'Gross,'Est
256,2014-04-01,392,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
257,2014-05-01,392,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
258,2014-06-01,384,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
259,2014-07-01,371,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
260,2014-08-01,375,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
261,2014-09-01,375,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
262,2014-10-01,377,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
263,2014-11-01,374,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
264,2014-12-01,404,21190,31225,2605000000,31416000000,397600
265,2015-01-01,406,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
266,2015-02-01,420,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
267,2015-03-01,438,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
268,2015-04-01,410,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
269,2015-05-01,389,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
270,2015-06-01,405,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
271,2015-07-01,384,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
272,2015-08-01,391,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
273,2015-09-01,379,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
274,2015-10-01,376,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
275,2015-11-01,399,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
276,2015-12-01,404,21450,31205,2741000000,32754000000,402300
277,2016-01-01,409,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
278,2016-02-01,450,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
279,2016-03-01,448,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
280,2016-04-01,432,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
281,2016-05-01,411,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
282,2016-06-01,410,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
283,2016-07-01,407,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
284,2016-08-01,408,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
285,2016-09-01,396,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
286,2016-10-01,405,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
287,2016-11-01,417,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
288,2016-12-01,454,21950,31170,2882000000,34027000000,409300
289,2017-01-01,439,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
290,2017-02-01,468,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
291,2017-03-01,470,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
292,2017-04-01,455,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
293,2017-05-01,436,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
294,2017-06-01,433,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
295,2017-07-01,429,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
296,2017-08-01,423,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
297,2017-09-01,430,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
298,2017-10-01,431,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
299,2017-11-01,440,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
300,2017-12-01,482,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
301,2018-01-01,473,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
302,2018-02-01,516,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
303,2018-03-01,503,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
304,2018-04-01,481,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
305,2018-05-01,455,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
306,2018-06-01,458,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
307,2018-07-01,453,21951.111111,32864.444444,2370333333.333333,29414555555.555557,393800
